# www.neaspec.com
# Scan:	 	Approach Curve (PsHet)
# Project:	 	2103
# Description:	 	WS2 on Si ret
# Date:	 	02/04/2022 17:30:54
# Scanner Center Position (X, Y):	[µm]	50.00	50.00	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.200
# Pixel Area (X, Y, Z):	[px]	1	1	200
# Averaging:	 	1	 	 
# Integration time:	[ms]	49	 	 
# Laser Source:	 	
# Detector:	 	None
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	PsHet
# Tip Frequency:	[Hz]	264,132.610	 	 
# Tip Amplitude:	[mV]	111.700	 	 
# Tapping Amplitude:	[nm]	70.684	 	 
# Modulation Frequency:	[Hz]	302.905	 	 
# Modulation Amplitude:	[mV]	5,500.000	 	 
# Modulation Offset:	[mV]	-89.434	 	 
# Setpoint:	[%]	88.80	 	 
# Regulator (P, I, D):	 	10.000000	15.000000	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	6.143	 	 
# Version:	 	1.9.7802.0
Row	Column	Run	Depth	Z	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	0	9.774833E-07	189.2685	0	70.7583	2.640204	0.001261576	-1.904354	0.004353158	-2.785389	0.002574048	1.204563	0	0	626.8378	0	79.23373	-2.278048	8.73868	2.737657	1.378066	-2.705722	0.2142083	-3.05846	0	0	
0	0	0	1	9.784716E-07	189.2451	0	72.03456	2.617152	0.001747006	1.328387	0.007810345	-2.94167	0.0009505107	-0.7689546	0	0	626.2663	0	80.73191	-2.276338	8.963706	2.733824	1.423794	-2.699112	0.2049513	-2.926331	0	0	
0	0	0	2	9.794767E-07	189.2771	0	73.48335	2.579664	0.006750348	-2.598491	0.01102752	-2.727349	0.004914864	-2.808016	0	0	626.9318	0	82.48064	-2.273866	9.213614	2.729411	1.452438	-2.664832	0.2244974	-3.046082	0	0	
0	0	0	3	9.804817E-07	189.3118	0	74.90882	2.536727	0.005782883	2.687938	0.003107603	2.795952	0.002435073	-0.1678614	0	0	627.3663	0	84.04538	-2.268098	9.461134	2.729094	1.504595	-2.636989	0.2254346	-3.003659	0	0	
0	0	0	4	9.814867E-07	189.3073	0	76.17448	2.482829	0.004535149	-2.500412	0.003474074	1.160594	0.0003654808	-1.944738	0	0	626.0159	0	85.42022	-2.267874	9.703409	2.735611	1.542112	-2.634989	0.2215312	-2.912928	0	0	
0	0	0	5	9.824918E-07	189.2562	0	77.29948	2.387964	0.007220198	-2.251404	0.009350298	-1.453416	0.001910696	0.4052792	0	0	625.1739	0	87.15755	-2.258973	9.874201	2.736314	1.570285	-2.602355	0.2299882	-3.014881	0	0	
0	0	0	6	9.834968E-07	189.2465	0	77.64704	2.414369	0.002107686	-2.184323	0.002635646	1.293164	0.003400162	-2.783336	0	0	625.1655	0	87.57282	-2.255449	9.856594	2.735893	1.526305	-2.56639	0.2066879	-2.725897	0	0	
0	0	0	7	9.845018E-07	189.2816	0	77.09733	2.524161	0.003596792	-2.521433	0.002581765	2.040505	0.00314936	1.640593	0	0	624.6788	0	87.33208	-2.254576	9.557364	2.727247	1.419835	-2.557207	0.1608517	-2.827475	0	0	
0	0	0	8	9.855067E-07	189.3167	0	77.0659	2.527258	0.003199531	-1.214911	0.00224967	-0.2334205	0.001053875	-1.152123	0	0	624.1901	0	87.54554	-2.24756	9.442681	2.726276	1.365855	-2.498324	0.1458093	-2.913674	0	0	
0	0	0	9	9.865201E-07	189.3187	0	77.03258	2.528119	0.004539873	-2.859356	0.009303379	1.947203	0.00189045	2.315241	0	0	624.5275	0	87.71178	-2.245644	9.312969	2.722452	1.291715	-2.482862	0.1104482	-2.834271	0	0	
0	0	0	10	9.875168E-07	189.2641	0	77.05694	2.528845	0.002406987	-2.539656	0.0008510777	1.034799	0.0004675452	-1.876435	0	0	625.2479	0	88.07284	-2.236478	9.229808	2.71578	1.262756	-2.466202	0.1004921	-2.736866	0	0	
